userid,state,weixin,android,ios,first_platform,last_platform,change
1019,new,1,3,0,weixin,android,True
1028,normal,24,0,0,weixin,weixin,False
1036,normal,1,0,0,weixin,None,False
1039,new,0,0,5,ios,ios,False
1053,normal,3,0,0,weixin,weixin,False
1066,normal,11,0,0,weixin,weixin,False
1068,new,2,0,0,weixin,weixin,False
1069,normal,1,0,0,weixin,None,False
1071,normal,1,0,0,weixin,None,False
1074,normal,6,0,0,weixin,weixin,False
1085,normal,2,0,0,weixin,weixin,False
1086,new,1,0,0,weixin,None,False
1089,normal,0,4,0,android,android,False
1096,normal,2,0,0,weixin,weixin,False
1116,normal,7,0,0,weixin,weixin,False
1120,normal,4,0,0,weixin,weixin,False
1122,normal,4,0,0,weixin,weixin,False
1126,normal,1,0,0,weixin,None,False
1137,new,1,0,0,weixin,None,False
1142,normal,0,2,0,android,android,False
