android,change,first_platform,ios,last_platform,state,userid,weixin
0,False,weixin,0,weixin,normal,1273,25
4,True,weixin,0,android,normal,1274,1
0,False,weixin,0,weixin,new,1276,8
0,False,weixin,0,None,new,1277,1
6,True,weixin,0,android,normal,1280,4
0,False,weixin,0,weixin,new,1282,12
0,False,weixin,0,weixin,normal,1284,11
0,False,weixin,0,weixin,normal,1285,12
1,False,android,0,None,normal,1286,0
0,False,weixin,0,weixin,new,1288,2
0,False,weixin,0,None,new,1290,1
4,False,android,0,android,new,1292,0
2,False,android,0,android,normal,1298,0
2,True,weixin,0,weixin,normal,1300,9
0,False,weixin,0,None,new,1305,1
0,False,weixin,0,None,new,1307,1
0,False,weixin,0,weixin,new,1312,2
0,False,weixin,0,weixin,new,1317,4
0,False,weixin,0,weixin,normal,1318,4
0,False,weixin,0,weixin,normal,1319,11
0,False,weixin,0,None,new,1320,1
0,False,weixin,0,None,new,1321,1
0,False,weixin,0,weixin,normal,1323,3
0,False,weixin,0,weixin,normal,1328,224
0,False,weixin,0,None,normal,1341,1
0,False,weixin,0,weixin,normal,1353,3
0,False,weixin,0,weixin,normal,1365,4
0,False,weixin,0,weixin,normal,1370,3
0,False,weixin,0,None,new,1376,1
0,False,weixin,0,None,normal,1382,1
0,False,weixin,0,weixin,new,1385,5
0,False,weixin,0,weixin,normal,1417,7
0,False,weixin,0,None,new,1420,1
0,False,weixin,0,weixin,new,1425,33
0,False,weixin,0,None,normal,1432,1
11,False,android,0,android,new,1436,0
0,False,weixin,0,None,new,1442,1
0,False,weixin,0,weixin,normal,1450,32
0,False,weixin,0,weixin,normal,1466,26
0,False,weixin,0,weixin,normal,1478,3
0,False,weixin,0,weixin,normal,1507,29
0,True,weixin,4,weixin,new,1509,6
0,True,ios,3,ios,normal,1527,7
0,False,weixin,0,None,normal,1530,1
0,False,weixin,0,None,new,1533,1
0,False,weixin,0,weixin,normal,1536,7
0,True,ios,2,weixin,new,1542,1
0,False,weixin,0,weixin,normal,1609,11
0,False,weixin,0,weixin,new,1613,2
0,False,weixin,0,weixin,normal,1622,13
0,False,weixin,0,weixin,new,1625,2
0,False,weixin,0,weixin,normal,1637,3
0,False,weixin,0,weixin,normal,1648,4
0,False,weixin,0,weixin,normal,1656,13
2,True,weixin,0,android,normal,1664,3
0,False,weixin,0,weixin,new,1680,4
0,False,weixin,0,weixin,new,1719,2
0,False,weixin,0,None,normal,1725,1
0,False,weixin,0,None,new,1753,1
0,False,weixin,0,weixin,new,1780,2
0,False,weixin,0,weixin,normal,1794,10
0,False,weixin,0,None,normal,1805,1
0,False,weixin,0,None,normal,1808,1
0,False,weixin,0,None,new,1821,1
0,False,weixin,0,None,normal,1850,1
0,False,weixin,0,weixin,normal,1859,13
0,False,weixin,0,None,normal,1874,1
10,True,ios,8,ios,normal,1895,0
2,True,android,0,weixin,normal,1903,48
0,False,weixin,0,weixin,disabled,1909,33
2,True,weixin,0,android,normal,1921,1
0,False,weixin,0,None,new,1924,1
0,False,weixin,0,weixin,normal,1931,3
0,False,weixin,0,None,new,1940,1
0,False,weixin,0,weixin,new,1952,3
2,True,weixin,0,android,normal,1958,1
0,False,weixin,0,None,normal,1978,1
5,True,weixin,0,android,normal,1995,11
6,False,android,0,android,normal,2007,0
0,False,weixin,0,weixin,normal,2053,241
0,False,weixin,0,weixin,normal,2072,2
0,False,weixin,0,weixin,normal,2084,18
0,False,weixin,0,None,new,2087,1
0,False,weixin,0,None,new,2093,1
0,False,weixin,0,weixin,new,2098,2
0,False,weixin,0,weixin,new,2101,10
0,False,weixin,0,None,normal,2104,1
0,False,weixin,0,weixin,new,2107,16
0,False,weixin,0,None,new,2109,1
0,True,ios,3,weixin,normal,2114,2
0,False,weixin,0,None,new,2123,1
0,False,weixin,0,None,new,2127,1
0,False,weixin,0,weixin,normal,2133,14
0,False,weixin,0,weixin,normal,2135,3
0,False,weixin,0,weixin,normal,2138,2
0,False,weixin,0,weixin,normal,2152,2
0,False,weixin,0,None,new,2158,1
0,False,weixin,0,weixin,normal,2175,2
0,False,weixin,0,None,new,2177,1
0,False,weixin,0,weixin,new,2186,5
6,False,android,0,android,new,2189,0
0,False,weixin,0,None,new,2192,1
0,True,weixin,1,ios,normal,2198,1
0,False,weixin,0,weixin,normal,2204,34
0,False,weixin,0,weixin,normal,2209,2
0,False,weixin,0,weixin,normal,2212,3
0,False,weixin,0,weixin,normal,2218,3
0,False,weixin,0,weixin,normal,2227,2
0,False,weixin,0,weixin,normal,2230,2
0,False,weixin,0,weixin,new,2233,3
3,True,weixin,0,android,normal,2236,1
0,False,ios,1,None,new,2242,0
2,True,weixin,0,weixin,normal,2244,7
0,False,weixin,0,weixin,new,2247,2
0,False,weixin,0,weixin,disabled,2250,35
0,False,weixin,0,None,new,2255,1
0,False,weixin,0,weixin,normal,2270,4
0,False,weixin,0,weixin,new,2290,5
0,False,weixin,0,None,normal,2310,1
4,True,weixin,0,weixin,normal,2318,22
0,False,weixin,0,weixin,new,2328,3
2,False,android,0,android,new,2352,0
0,False,weixin,0,None,new,2355,1
0,False,weixin,0,weixin,normal,2358,14
0,False,weixin,0,weixin,normal,2365,4
0,True,ios,2,weixin,disabled,2374,1
0,False,weixin,0,weixin,normal,2381,6
0,False,weixin,0,None,new,2396,1
0,False,weixin,0,None,normal,2399,1
0,False,weixin,0,weixin,normal,2404,3
0,False,weixin,0,weixin,normal,2410,9
0,False,weixin,0,weixin,normal,2440,10
0,False,weixin,0,weixin,normal,2464,4
0,False,weixin,0,None,new,2467,1
0,False,weixin,0,weixin,normal,2484,5
0,False,weixin,0,weixin,normal,2487,17
0,False,weixin,0,weixin,normal,2490,13
0,False,weixin,0,None,normal,2493,1
0,False,weixin,0,None,normal,2496,1
0,False,weixin,0,weixin,new,2500,10
0,False,weixin,0,None,normal,2515,1
0,False,weixin,0,weixin,normal,2521,21
0,False,weixin,0,weixin,normal,2524,14
10,True,android,0,weixin,normal,2527,25
0,False,weixin,0,weixin,normal,2533,2
0,False,weixin,0,weixin,new,2537,9
0,False,weixin,0,weixin,normal,2539,16
0,False,weixin,0,weixin,new,2568,8
0,False,ios,17,ios,normal,2597,0
0,False,weixin,0,None,new,2600,1
0,False,weixin,0,weixin,normal,2644,24
0,False,weixin,0,weixin,normal,2664,28
0,False,weixin,0,weixin,normal,2675,13
6,True,android,0,weixin,normal,2746,2
0,False,weixin,0,None,new,2755,1
0,False,weixin,0,weixin,normal,2769,19
0,False,weixin,0,weixin,new,2778,6
0,False,weixin,0,weixin,normal,2784,38
0,False,weixin,0,weixin,normal,2793,6
0,False,weixin,0,weixin,normal,2803,6
0,False,weixin,0,weixin,disabled,2831,18
0,False,weixin,0,weixin,normal,2839,12
0,False,weixin,0,weixin,normal,2858,11
0,False,weixin,0,weixin,normal,2866,37
0,False,weixin,0,weixin,normal,2871,4
0,False,weixin,0,weixin,normal,2877,33
0,False,weixin,0,weixin,normal,2883,18
0,False,weixin,0,None,normal,2891,1
0,False,weixin,0,None,None,2894,1
0,False,weixin,0,weixin,new,2909,3
0,False,weixin,0,weixin,new,2941,4
0,False,weixin,0,None,normal,2945,1
0,False,weixin,0,weixin,normal,2951,6
0,False,weixin,0,weixin,normal,2978,3
0,False,weixin,0,weixin,normal,3002,3
0,False,weixin,0,weixin,normal,3005,15
2,True,weixin,0,weixin,normal,3007,2
0,False,weixin,0,weixin,normal,3025,7
0,False,weixin,0,weixin,normal,3034,3
0,False,weixin,0,None,normal,3047,1
0,False,weixin,0,weixin,normal,3050,5
0,False,weixin,0,weixin,normal,3053,2
0,False,weixin,0,None,normal,3056,1
3,True,weixin,0,weixin,normal,3059,6
0,False,weixin,0,None,new,3062,1
0,False,weixin,0,None,new,3136,1
0,False,weixin,0,weixin,normal,3144,3
0,False,weixin,0,weixin,new,3153,2
0,False,weixin,0,weixin,normal,3169,4
0,False,weixin,0,weixin,normal,3181,3
0,False,weixin,0,weixin,normal,3200,5
0,False,weixin,0,weixin,new,3210,2
0,False,weixin,0,weixin,normal,3224,17
0,False,weixin,0,weixin,new,3227,2
0,False,weixin,0,weixin,normal,3297,4
0,False,weixin,0,weixin,normal,3307,10
0,False,weixin,0,None,new,3316,1
0,False,weixin,0,weixin,normal,3320,8
0,False,weixin,0,weixin,new,3323,4
0,False,weixin,0,weixin,normal,3329,18
0,False,weixin,0,weixin,normal,3345,48
0,False,weixin,0,weixin,new,3390,4
0,False,weixin,0,weixin,normal,3445,3
0,False,weixin,0,None,normal,3463,1
0,False,weixin,0,None,normal,3475,1
0,False,weixin,0,None,normal,3477,1
0,False,weixin,0,None,None,3500,1
0,False,weixin,0,weixin,normal,3525,4
0,False,weixin,0,None,None,3534,1
0,False,weixin,0,weixin,normal,3597,19
0,False,weixin,0,None,normal,3602,1
2,True,weixin,0,weixin,normal,3605,2
0,False,weixin,0,None,normal,3620,1
6,True,android,0,android,normal,3624,2
0,False,weixin,0,weixin,normal,3630,2
6,True,android,0,weixin,normal,3636,153
0,False,weixin,0,weixin,new,3642,2
0,False,weixin,0,weixin,normal,3648,3
0,False,weixin,0,weixin,normal,3661,2
0,False,weixin,0,weixin,normal,3665,71
0,False,weixin,0,None,new,3668,1
0,False,weixin,0,weixin,normal,3684,30
0,False,weixin,0,weixin,disabled,3702,11
0,False,weixin,0,weixin,normal,3715,15
2,False,android,0,android,new,3727,0
0,False,weixin,0,weixin,normal,3733,42
2,True,android,0,weixin,normal,3745,1
0,False,weixin,0,weixin,new,3757,4
0,False,weixin,0,weixin,new,3763,2
0,False,weixin,0,None,normal,3771,1
0,False,weixin,0,weixin,normal,3779,18
0,False,weixin,0,weixin,normal,3782,80
0,False,weixin,0,weixin,normal,3786,9
0,False,weixin,0,weixin,disabled,3789,6
0,False,weixin,0,weixin,disabled,3855,18
0,True,weixin,7,weixin,normal,3858,10
0,False,weixin,0,None,new,3863,1
0,False,weixin,0,weixin,normal,3878,92
0,False,weixin,0,weixin,normal,3884,4
0,False,weixin,0,weixin,disabled,3905,2
0,False,weixin,0,None,normal,3911,1
0,False,weixin,0,weixin,normal,3914,5
0,False,weixin,0,None,new,3919,1
6,False,android,0,android,new,3922,0
0,False,weixin,0,weixin,new,3930,4
0,False,weixin,0,weixin,normal,3933,19
0,False,weixin,0,weixin,normal,3936,3
0,False,weixin,0,weixin,new,3942,6
0,False,weixin,0,weixin,normal,3948,2
0,False,weixin,0,weixin,normal,3957,5
0,False,weixin,0,None,new,3960,1
4,True,weixin,0,weixin,normal,3963,3
0,False,weixin,0,weixin,new,3969,24
0,False,weixin,0,None,new,3986,1
0,False,weixin,0,weixin,new,4014,3
0,False,weixin,0,None,normal,4017,1
0,False,weixin,0,None,new,4088,1
0,False,weixin,0,weixin,normal,4127,7
0,False,weixin,0,weixin,new,4161,2
0,False,weixin,0,weixin,normal,4191,2
0,False,weixin,0,weixin,normal,4218,8
0,False,weixin,0,weixin,normal,4221,2
0,False,weixin,0,None,new,4260,1
0,False,weixin,0,weixin,new,4302,2
0,False,weixin,0,weixin,normal,4320,23
0,False,weixin,0,weixin,normal,4329,40
0,False,weixin,0,None,normal,4341,1
0,False,weixin,0,None,new,4348,1
0,False,weixin,0,weixin,normal,4351,135
0,False,weixin,0,weixin,normal,4374,5
0,False,weixin,0,None,normal,4424,1
0,False,weixin,0,weixin,normal,4449,3
0,False,weixin,0,weixin,normal,4455,4
0,False,weixin,0,weixin,new,4475,2
2,True,weixin,0,weixin,normal,4523,10
6,True,weixin,0,android,normal,4590,2
46,True,weixin,0,android,normal,4594,6
0,True,ios,1,weixin,normal,4597,18
0,False,weixin,0,weixin,normal,4600,2
0,False,weixin,0,weixin,new,4603,11
0,False,weixin,0,weixin,normal,4605,6
0,False,weixin,0,weixin,normal,4608,3
0,False,weixin,0,None,normal,4614,1
0,False,weixin,0,weixin,normal,4620,4
2,True,android,0,weixin,new,4641,1
0,False,weixin,0,weixin,normal,4715,8
0,False,weixin,0,weixin,new,4751,3
0,False,weixin,0,weixin,normal,4876,19
0,False,weixin,0,None,new,4905,1
0,False,weixin,0,weixin,normal,4911,6
4,True,weixin,0,android,normal,4920,3
0,False,weixin,0,weixin,normal,7350,11
0,False,weixin,0,None,normal,7384,1
0,False,weixin,0,None,new,7450,1
0,False,weixin,0,weixin,normal,7453,7
0,False,weixin,0,weixin,normal,7456,13
0,False,weixin,0,weixin,normal,7465,18
0,False,weixin,0,weixin,normal,7467,32
0,False,weixin,0,weixin,normal,7480,8
0,False,weixin,0,weixin,new,7486,3
0,False,weixin,0,weixin,new,7492,9
0,False,weixin,0,weixin,new,7495,3
0,False,weixin,0,weixin,normal,7499,28
0,False,weixin,0,weixin,normal,7517,9
2,True,weixin,0,android,new,7543,2
1,False,android,0,None,normal,7546,0
0,False,weixin,0,None,normal,7549,1
0,False,weixin,0,weixin,new,7553,13
0,False,weixin,0,weixin,normal,7565,2
0,False,weixin,0,weixin,normal,7569,40
0,False,weixin,0,weixin,disabled,7578,4
0,False,weixin,0,None,new,7605,1
0,False,weixin,0,None,normal,7633,1
0,False,weixin,0,None,new,7636,1
0,False,weixin,0,weixin,normal,7649,21
0,False,weixin,0,weixin,normal,7660,19
0,False,weixin,0,weixin,new,7662,4
0,False,weixin,0,weixin,normal,7687,13
3,True,weixin,0,weixin,normal,7705,3
0,False,weixin,0,weixin,normal,7714,3
0,False,weixin,0,weixin,new,7729,3
0,False,weixin,0,weixin,new,7732,4
0,False,weixin,0,weixin,normal,7738,6
0,False,weixin,0,weixin,normal,7739,2
0,False,weixin,0,weixin,normal,7745,5
0,False,weixin,0,None,new,7751,1
0,False,weixin,0,weixin,normal,7754,3
0,False,weixin,0,weixin,normal,7771,4
0,True,ios,5,ios,normal,7772,1
0,False,weixin,0,weixin,new,7783,4
0,False,weixin,0,weixin,normal,7784,3
0,False,weixin,0,weixin,normal,7786,2
0,False,weixin,0,None,normal,7787,1
0,False,weixin,0,None,normal,7789,1
0,True,weixin,6,ios,normal,7792,7
0,False,weixin,0,weixin,new,7799,4
0,False,weixin,0,None,normal,7800,1
0,False,weixin,0,None,normal,7816,1
0,False,weixin,0,None,new,7819,1
0,False,weixin,0,weixin,normal,7820,8
0,False,weixin,0,weixin,normal,7835,8
0,False,weixin,0,weixin,new,7837,12
0,False,weixin,0,weixin,normal,7862,3
24,True,android,0,android,normal,7876,11
0,False,weixin,0,None,normal,7878,1
0,False,weixin,0,weixin,normal,7889,5
0,False,weixin,0,weixin,new,7892,3
0,False,weixin,0,weixin,normal,7895,2
0,False,weixin,0,weixin,new,7900,6
0,False,weixin,0,weixin,disabled,7906,24
0,False,weixin,0,weixin,normal,7908,17
0,False,weixin,0,None,new,7915,1
0,False,weixin,0,None,new,7918,1
0,False,weixin,0,weixin,normal,7919,2
0,False,weixin,0,weixin,normal,7920,21
0,False,weixin,0,weixin,normal,7921,3
0,False,weixin,0,weixin,new,7923,2
0,False,weixin,0,None,normal,7924,1
0,False,weixin,0,weixin,normal,7928,2
0,False,weixin,0,weixin,normal,7932,7
0,False,weixin,0,weixin,normal,7941,16
0,False,weixin,0,weixin,normal,7942,14
0,False,weixin,0,weixin,normal,7943,14
0,False,weixin,0,weixin,disabled,7951,3
0,False,weixin,0,weixin,normal,7954,2
0,False,weixin,0,None,normal,7955,1
0,False,weixin,0,weixin,normal,7957,83
0,False,weixin,0,weixin,normal,7959,35
0,False,weixin,0,weixin,normal,7972,4
4,False,android,0,android,normal,7976,0
0,False,weixin,0,weixin,normal,7977,27
8,False,android,0,android,normal,7978,0
0,False,weixin,0,weixin,normal,7979,16
0,False,weixin,0,weixin,normal,7980,2
0,False,weixin,0,None,new,7981,1
0,False,weixin,0,weixin,normal,7982,55
0,False,weixin,0,weixin,new,7983,12
0,False,weixin,0,None,normal,7987,1
0,False,weixin,0,weixin,new,7988,2
0,False,ios,1,None,new,7989,0
0,False,weixin,0,weixin,normal,7990,5
0,False,weixin,0,weixin,normal,7991,13
0,False,weixin,0,None,new,7993,1
0,False,weixin,0,weixin,normal,7994,18
0,False,weixin,0,weixin,normal,7995,10
26,False,android,0,android,new,7996,0
4,True,weixin,0,weixin,normal,8000,39
0,False,weixin,0,None,new,8001,1
0,False,weixin,0,weixin,normal,8007,3
0,False,weixin,0,weixin,normal,8009,28
0,False,weixin,0,weixin,new,8019,10
0,False,weixin,0,weixin,new,8021,9
0,False,weixin,0,None,normal,8022,1
0,False,weixin,0,None,new,8023,1
0,False,weixin,0,None,new,8027,1
0,False,weixin,0,None,new,8028,1
0,False,weixin,0,weixin,normal,8030,5
0,False,weixin,0,weixin,new,8031,5
0,False,weixin,0,weixin,new,8038,10
4,False,android,0,android,new,8042,0
0,False,weixin,0,weixin,new,8043,12
0,False,weixin,0,weixin,new,8044,15
0,False,weixin,0,weixin,normal,8052,2
0,False,weixin,0,weixin,new,8055,4
0,False,weixin,0,None,new,8057,1
0,False,weixin,0,weixin,normal,8060,27
0,False,weixin,0,weixin,normal,8061,13
0,False,weixin,0,weixin,normal,8062,7
0,False,weixin,0,weixin,normal,8063,4
0,False,weixin,0,weixin,normal,8064,7
0,False,weixin,0,weixin,normal,8066,2
0,False,weixin,0,weixin,normal,8067,18
0,False,weixin,0,weixin,normal,8070,8
0,False,weixin,0,weixin,normal,8071,12
0,False,weixin,0,weixin,normal,8072,3
0,False,weixin,0,weixin,normal,8077,10
0,False,weixin,0,weixin,new,8079,4
0,False,weixin,0,weixin,new,8084,2
0,False,weixin,0,weixin,new,8085,14
0,False,weixin,0,weixin,normal,8088,4
0,False,weixin,0,None,normal,8089,1
0,False,weixin,0,weixin,normal,8090,20
0,False,weixin,0,weixin,normal,8091,2
0,False,weixin,0,weixin,normal,8092,11
0,False,weixin,0,weixin,normal,8093,10
68,True,android,0,weixin,normal,8094,83
0,False,weixin,0,None,normal,8104,1
0,False,weixin,0,None,new,8105,1
0,True,weixin,5,ios,normal,8108,6
0,False,weixin,0,weixin,new,8109,4
0,False,weixin,0,weixin,new,8110,5
0,False,weixin,0,weixin,normal,8112,20
0,False,weixin,0,None,new,8115,1
0,False,weixin,0,weixin,normal,8119,2
0,False,weixin,0,None,new,8121,1
2,True,weixin,0,weixin,normal,8122,6
0,False,weixin,0,weixin,normal,8125,4
0,False,weixin,0,weixin,new,8126,2
0,False,weixin,0,None,new,8127,1
0,False,weixin,0,weixin,normal,8129,47
0,False,weixin,0,weixin,normal,8130,90
0,False,weixin,0,None,new,8131,1
0,False,weixin,0,None,normal,8136,1
0,False,weixin,0,None,new,8137,1
0,False,weixin,0,weixin,normal,8142,17
0,False,weixin,0,None,new,8143,1
0,False,weixin,0,weixin,normal,8145,20
0,False,weixin,0,None,new,8146,1
0,False,weixin,0,weixin,normal,8149,3
0,False,weixin,0,None,normal,8152,1
0,False,weixin,0,weixin,normal,8153,4
0,False,weixin,0,weixin,new,8154,2
0,False,weixin,0,weixin,normal,8156,8
0,False,weixin,0,None,new,8158,1
0,False,weixin,0,weixin,normal,8163,3
0,False,weixin,0,weixin,normal,8164,7
0,False,weixin,0,None,normal,8166,1
0,False,weixin,0,weixin,normal,8168,8
4,True,weixin,0,android,new,8170,10
0,False,weixin,0,None,new,8171,1
