change,first_platform,last_platform,userid
False,weixin,Non,2417
False,weixin,Non,2425
False,weixin,Non,2440
False,weixin,Non,2452
False,weixin,Non,2464
False,weixin,Non,2467
False,weixin,Non,2480
False,weixin,Non,2484
False,weixin,Non,2487
False,weixin,Non,2490
False,weixin,Non,2496
False,weixin,Non,2500
False,weixin,Non,2515
False,weixin,Non,2518
False,weixin,Non,2521
False,weixin,Non,2524
True,android,weixin,2527
False,weixin,Non,2533
False,weixin,Non,2537
False,weixin,Non,2539
False,weixin,Non,2543
False,weixin,Non,2549
False,weixin,Non,2565
False,weixin,Non,2568
False,weixin,Non,2579
False,weixin,Non,2586
True,ios,weixin,2597
False,weixin,Non,2600
False,weixin,Non,2613
False,weixin,Non,2644
False,weixin,Non,2664
False,weixin,Non,2675
False,weixin,Non,2691
True,android,weixin,2746
False,weixin,Non,2755
False,weixin,Non,2769
False,weixin,Non,2772
False,weixin,Non,2778
False,weixin,Non,2784
False,weixin,Non,2793
False,weixin,Non,2800
False,weixin,Non,2803
False,weixin,Non,2809
False,weixin,Non,2831
False,weixin,Non,2839
False,weixin,Non,2848
False,weixin,Non,2858
False,weixin,Non,2866
False,weixin,Non,2871
False,weixin,Non,2877
False,weixin,Non,2883
False,weixin,Non,2891
False,weixin,Non,2894
False,weixin,Non,2898
False,weixin,Non,2909
False,weixin,Non,2915
False,weixin,Non,2918
False,weixin,Non,2941
False,weixin,Non,2945
False,weixin,Non,2951
False,weixin,Non,2954
False,weixin,Non,2972
False,weixin,Non,2978
False,weixin,Non,3002
False,weixin,Non,3005
True,android,weixin,3007
False,weixin,Non,3025
False,weixin,Non,3034
False,weixin,Non,3040
False,weixin,Non,3047
False,weixin,Non,3050
False,weixin,Non,3053
False,weixin,Non,3056
True,android,weixin,3059
False,weixin,Non,3062
False,weixin,Non,3136
False,weixin,Non,3139
False,weixin,Non,3144
False,weixin,Non,3150
False,weixin,Non,3153
False,weixin,Non,3169
False,weixin,Non,3181
False,weixin,Non,3187
False,weixin,Non,3196
False,weixin,Non,3200
False,weixin,Non,3203
False,weixin,Non,3207
False,weixin,Non,3210
False,weixin,Non,3219
False,weixin,Non,3224
False,weixin,Non,3227
False,weixin,Non,3253
False,weixin,Non,3272
False,weixin,Non,3291
False,weixin,Non,3297
False,weixin,Non,3299
False,weixin,Non,3302
False,weixin,Non,3305
False,weixin,Non,3307
False,weixin,Non,3310
False,weixin,Non,3314
False,weixin,Non,3316
False,weixin,Non,3320
False,weixin,Non,3323
False,weixin,Non,3329
False,weixin,Non,3336
False,weixin,Non,3345
False,weixin,Non,3390
False,weixin,Non,3397
False,weixin,Non,3409
False,weixin,Non,3436
False,weixin,Non,3445
False,weixin,Non,3463
False,weixin,Non,3475
False,weixin,Non,3477
False,weixin,Non,3500
False,weixin,Non,3519
False,weixin,Non,3525
False,weixin,Non,3534
False,weixin,Non,3549
False,weixin,Non,3552
False,weixin,Non,3560
False,weixin,Non,3578
False,weixin,Non,3591
False,weixin,Non,3597
False,weixin,Non,3602
True,android,weixin,3605
False,weixin,Non,3608
False,weixin,Non,3611
False,weixin,Non,3620
True,android,weixin,3624
False,weixin,Non,3630
True,android,weixin,3636
False,weixin,Non,3642
False,weixin,Non,3648
False,weixin,Non,3651
False,weixin,Non,3661
False,weixin,Non,3665
False,weixin,Non,3668
False,weixin,Non,3684
False,weixin,Non,3693
False,weixin,Non,3702
False,weixin,Non,3705
False,weixin,Non,3708
False,weixin,Non,3715
True,android,weixin,3727
False,weixin,Non,3733
True,android,weixin,3745
False,weixin,Non,3754
False,weixin,Non,3757
False,weixin,Non,3760
False,weixin,Non,3763
False,weixin,Non,3771
False,weixin,Non,3774
False,weixin,Non,3779
False,weixin,Non,3782
False,weixin,Non,3786
False,weixin,Non,3789
False,weixin,Non,3848
False,weixin,Non,3852
False,weixin,Non,3855
True,ios,weixin,3858
False,weixin,Non,3863
False,weixin,Non,3878
False,weixin,Non,3884
False,weixin,Non,3905
False,weixin,Non,3911
False,weixin,Non,3914
False,weixin,Non,3919
True,android,weixin,3922
False,weixin,Non,3930
False,weixin,Non,3933
False,weixin,Non,3936
False,weixin,Non,3942
False,weixin,Non,3948
False,weixin,Non,3957
False,weixin,Non,3960
True,android,weixin,3963
False,weixin,Non,3969
False,weixin,Non,3986
False,weixin,Non,3991
False,weixin,Non,4014
False,weixin,Non,4017
False,weixin,Non,4032
False,weixin,Non,4041
False,weixin,Non,4059
False,weixin,Non,4074
False,weixin,Non,4082
False,weixin,Non,4088
False,weixin,Non,4109
False,weixin,Non,4112
False,weixin,Non,4127
False,weixin,Non,4153
False,weixin,Non,4156
False,weixin,Non,4161
False,weixin,Non,4181
False,weixin,Non,4191
False,weixin,Non,4197
False,weixin,Non,4206
False,weixin,Non,4218
False,weixin,Non,4221
False,weixin,Non,4244
False,weixin,Non,4260
False,weixin,Non,4302
False,weixin,Non,4320
False,weixin,Non,4329
False,weixin,Non,4341
False,weixin,Non,4348
False,weixin,Non,4351
False,weixin,Non,4354
False,weixin,Non,4374
False,weixin,Non,4410
False,weixin,Non,4413
False,weixin,Non,4424
False,weixin,Non,4449
False,weixin,Non,4455
False,weixin,Non,4466
False,weixin,Non,4469
False,weixin,Non,4475
True,android,weixin,4523
False,weixin,Non,4550
False,weixin,Non,4559
False,weixin,Non,4588
True,android,weixin,4590
True,android,weixin,4594
True,ios,weixin,4597
False,weixin,Non,4600
False,weixin,Non,4603
False,weixin,Non,4605
False,weixin,Non,4608
False,weixin,Non,4614
False,weixin,Non,4620
True,android,weixin,4641
False,weixin,Non,4715
False,weixin,Non,4739
False,weixin,Non,4751
False,weixin,Non,4858
False,weixin,Non,4876
False,weixin,Non,4899
False,weixin,Non,4902
False,weixin,Non,4905
False,weixin,Non,4908
False,weixin,Non,4911
True,android,weixin,4920
False,weixin,Non,4949
False,weixin,Non,4953
False,weixin,Non,4993
False,weixin,Non,7350
False,weixin,Non,7381
False,weixin,Non,7384
False,weixin,Non,7445
False,weixin,Non,7450
False,weixin,Non,7453
False,weixin,Non,7456
False,weixin,Non,7465
False,weixin,Non,7467
False,weixin,Non,7480
False,weixin,Non,7486
False,weixin,Non,7489
False,weixin,Non,7492
False,weixin,Non,7495
False,weixin,Non,7499
False,weixin,Non,7517
True,android,weixin,7543
True,android,weixin,7546
False,weixin,Non,7549
False,weixin,Non,7553
False,weixin,Non,7565
False,weixin,Non,7569
False,weixin,Non,7575
False,weixin,Non,7578
False,weixin,Non,7581
False,weixin,Non,7605
False,weixin,Non,7633
False,weixin,Non,7636
False,weixin,Non,7649
False,weixin,Non,7660
False,weixin,Non,7662
False,weixin,Non,7684
False,weixin,Non,7687
False,weixin,Non,7690
True,android,weixin,7705
False,weixin,Non,7714
False,weixin,Non,7729
False,weixin,Non,7732
False,weixin,Non,7737
False,weixin,Non,7738
